route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
820370,20161611multiint-0000001,47334789-20161611multiint-0000001,"Terminus Charlesbourg / Jean-Talon Ouest (Nord)",,0,,03700265,2
820370,20161611multiint-0000001,47334790-20161611multiint-0000001,"Terminus Charlesbourg / Jean-Talon Ouest (Nord)",,0,,03700265,2
820370,20161611multiint-0000001,47334802-20161611multiint-0000001,"41e Rue Est / colline Parlementaire (Sud)",,1,,03700275,2
820520,20161611multiint-0000001,47335153-20161611multiint-0000001,"Terminus Charlesbourg (Ouest)",,1,,05200163,2
820930,20161611multiint-0000001,47334895-20161611multiint-0000001,"Sainte-Foy Centre/Univ.Laval/Cégep Garneau (Sud)",,1,,09300314,2
820920,20161611multiint-0000001,47372986-20161611multiint-0000001,"Saint-Augustin (Ouest)",,1,,09200278,2
820770,20161611multiint-0000001,47334879-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700191,2
820770,20161611multiint-0000001,47334872-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07700214,2
820010,20161611multiint-0000001,47334431-20161611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100309,2
820820,20161611multiint-0000001,47334726-20161611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,08200296,2
820770,20161611multiint-0000001,47334859-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700191,2
820770,20161611multiint-0000001,47334870-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07700214,2
820010,20161611multiint-0000001,47334432-20161611multiint-0000001,"Gare fluviale / Cap-Blanc (Sud)",,1,,00100309,2
820810,20161611multiint-0000001,47335481-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,08100156,2
820550,20161611multiint-0000001,47372973-20161611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05500268,2
820550,20161611multiint-0000001,47372974-20161611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05500268,2
820740,20161611multiint-0000001,47335365-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400188,2
820860,20161611multiint-0000001,47335565-20161611multiint-0000001,"Terminus Les Saules (Nord)",,0,,08600199,2
820770,20161611multiint-0000001,47334871-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07700214,2
828034,20161611multiint-0000001,47333637-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333644-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333649-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333655-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333661-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333668-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333673-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333638-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333643-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333650-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333656-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333662-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333667-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333674-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333679-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333639-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333646-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333651-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333658-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333663-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333670-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333675-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333682-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333640-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333645-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333652-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333657-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333664-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
